,0,1,2,3,4,5
0,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/readers-mail/article5280162.ece,national,andhrapradesh,Readers mail,"SC ruling on alimony The Supreme Court has extended the definition of wife in Section 123 of Criminal Procedure Code by holding that if a person lies to a woman that he is single and marries her, she is eligible for payment of maintenance from him under the Section. Possibly there cannot be a better relief to the wrecked lives of such women. However, there are women who are still outside its ambit and not eligible for maintenance, the women who have been cheated by such men and who are unwed mothers. I hope the day is not far away when the court will rule that the cheated unwed mothers too are eligible for maintenance. S. Rama Chandra Rao Visakhapatnam Farmers’ woes Cyclone Phailin and the torrential rains that followed have devastated standing crops on thousands of hectares in Srikakulam district. The plight of the farmers is heart-rending. It is unfortunate that no political leader has expressed empathised with affected farmers. The Congress-led UPA Government at the Centre has shown its callousness in pushing forward its agenda to divide the State while the common man is crying for relief from the natural calamity and some compensation for the colossal loss to the crops. A.V.L. Bhujanga Rao Visakhapatnam Epidemic threat The action of GVMC Commissioner M.V. Satyanarayana in taking steps to prevent outbreak of contagious diseases after the rains go away is laudable. Contamination of water, breeding of mosquitoes and quick non-removal of trash are the main contributors to causing epidemics and they should be addressed first. Politicians must allow the uninterrupted attention of the officials for relief work. Ganti Mahapatruni Rama Rao Visakhapatnam Address problems in Rythu Bazaar After rains, the conditions inside and outside the Rythu Bazaar in Seethammadhara become unbearable. In the absence of good drainage system, water stagnates in front of the stalls and it is difficult to stand there to buy vegetables. Further, water stagnates at all the three entrances to the Rythu Bazaar that makes it difficult to enter the market. The garbage bin outside the market emanating foul smell and after a rain it gets worse. The authorities need to take immediate steps to address these problems. P. Kurmeswara Rao Visakhapatnam",0
1,http://www.thehindu.com/todays-paper/tp-international/niqaab-is-the-elephant-in-the-courtroom-says-uk-judge/article5143715.ece,international,None,"Niqaab is ‘the elephant in the courtroom’, says U.K. judge","A person may not give evidence with the face covered, a U.K. court has ruled, fuelling an already heated debate in a society characterised increasingly by diversity of religion and nationality. Judge Peter Murphy delivered the landmark judgment on September 16 in the context of a 21-year-old Muslim woman (referred to only as D in the judgment) who appeared in his court as defendant in a case of witness intimidation. Laying out sharply argued reasons for his decision, the judge noted that the question of whether a woman may give evidence wearing a niqaab had become “the elephant in the courtroom”, and that it called for a defining principle of law. The judge drew a distinction between a niqaab -wearing woman standing for trial and giving evidence. Permitting D to stand for trial with her face covered, he stated that she must give evidence with her face clearly visible to the “judge, the jury, and counsel” if fairness of trial and justice is to be served. Mr. Justice Murphy said D should be “given time to reflect and take advice if she wishes to do so”, to remove her niqaab . “If she refuses, the judge should not allow her to give evidence, and must give the jury a clear direction…about the defendant’s failure to give evidence.” His argument, which drew from case laws of other countries and interpretations of Muslim law, allowed for exceptions and “accommodations”. For example, he said that a woman with a niqaab could appear as a witness, a juror, or an advocate; could wear it in civil or family courts “in which other considerations may come into play”; or in an airport where she could be taken to another room by a woman officer for a security check. The argument for a judicial principle to be set only pertains to a trial court in an “adversarial trial” where women appear as defendants. Hiding the face in an adversarial trial in the Crown Court “may impede credibility assessment by the trier of fact, be it judge or jury”, Mr. Justice Murphy stated. On fundamental right Responding to the central argument put forward by D’s counsel, namely, that giving evidence is a fundamental right, he said that this right “must be seen in context…[it] involves a corresponding duty to submit that evidence to the scrutiny of the jury.” The judge said that he rejected the view that the niqaab is “somehow incompatible with participation in public life in England and Wales; or is nothing more than a form of abuse, imposed under the guise of religion, on women by men. There may be individual cases where that is true. But the niqaab is worn by choice by many spiritually-minded, thoughtful and intelligent women, who do not deserve to be demeaned by superficial and uninformed criticisms of their choice.” With 4.8 million Muslims in the U.K., half of them women (of whom a majority do not wear the veil), the judgment will doubtless provide the anchor of reasoned law in a debate fraught with disagreement, and in which the voices of Muslim women are rarely heard.",0
2,http://www.thehindu.com/todays-paper/tp-national/tp-kerala/Grandparents-honoured/article14703613.ece,national,kerala,Grandparents honoured,"Staff and students of Global Public School, Kochi, celebrated Grandparents Day, which turned out to be an event full of nostalgic memories. Many turned misty-eyed as the session progressed. Children played merry music and gave creative gifts to their grandparents. Games too were held. In one such, grandparents passed a cuddle around, similar to musical chairs. In yet another, they had to choose different ports and disembark when the music stopped and their port was called out. A jury of five asked humorous questions to choose the Wow Grandparent 2006. Srinivas Gupta walked away with the title. Lakshmi Ramachandran, Dean, adorned him with a sash. The sumptuous tea left a sweet note. House-plan drawing Prizes to winners of the house-plan drawing contest for schoolchildren, organised by Yasoram Charitable Trust, were distributed on Sunday. Minister for Fisheries S. Sarma was chief guest. He gave away prizes to the winners. Managing trustee A.R.S. Vadhyar welcomed the gathering. The following students came on top in different categories: (high school) Bella Ullas (Bhavan's Vidya Mandir, Eroor); (upper primary) Anagha S. (GVHSS, Chottanikkara); (lower primary) Arshad Mohammed (Rajagiri Public School, Kalamassery). Christmas camp Thirty-five children participated in a Christmas camp organised by CHILD, a Thripunithura-based organisation. They learned to make toys, greeting cards, attractive posters, flowers and so on, from palm leaves, egg shells, lottery tickets, withered leaves, newspapers and other commonly available materials. A session on clay modelling and puppetry too was held. Interactive games too were organised. At daily ""tell-me-why"" sessions, children were exposed to hidden secrets of science.",0
4,http://www.thehindu.com/todays-paper/fishermen-call-off-strike/article5540510.ece,None,None,Fishermen call off strike,"The country boat fishermen in Pamban, who had launched an indefinite strike on December 31 in protest against the arrest of 18 fishermen by the Sri Lankan navy, called off their stir and resumed fishing on Saturday. After the district country boat fishermen association met at Pamban near here and adopted a resolution calling off the agitation, a section of more than 100 fishermen set for fishing in the south sea on Saturday evening, association president S.Royappan said. He said the fishermen had launched the strike expecting the Central and State governments to take steps and secure the release of the arrested fishermen but they remained silent. On the other hand, the Lankan authorities have remanded the fishermen in judicial custody, he said. The decision to call off the strike was taken considering the livelihood of the fishermen and their poor family background. Most of the families of 3,000-odd country boat fishermen were struggling to make both ends meet, he said. He said country boat and mechanised boat fishermen in the island would strike work on January 9 and observe a fast to condemn the arrest of the fishermen by the Lankan navy. They urge the Centre to prevail upon the Lankan government to release more than 300 Tamil Nadu fishermen, detained in various prisons in Lanka at the earliest, Mr. Royappan said.",1
6,http://www.thehindu.com/todays-paper/badal-meets-pm-seeks-clemency-for-bhullar/article4621784.ece,None,None,"Badal meets PM, seeks clemency for Bhullar","Punjab Chief Minister Parkash Singh Badal on Monday met Prime Minister Manmohan Singh and sought clemency for Khalistani terrorist Devinderpal Singh Bhullar, whose plea for commutation of the death sentence was dismissed by the Supreme Court last week. Noting that Bhullar’s execution could lead to law and order problems in Punjab and other places, Mr. Badal told journalists here that he had urged Dr. Singh to find a way out. “I have the experience of how much the country has lost due to incorrect decisions. In the interest of the State, in the interest of the country, we are asking to stop it [execution],” Mr. Badal said. He was accompanied by his son and Deputy Chief Minister Sukhbir Singh Badal. Asserting that sending Bhullar to the gallows would send a “wrong message” across the country, the Chief Minister said: “What we need most is peace and harmony. If it [execution] affects peace and harmony, it will become an emotive issue. We are warning the government that people are emotional … we might have to pay a price for it.” “We warn government that people are emotional … we might have to pay a price for it” Badal urges Manmohan to find a way out",0
7,http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/restrictions-shutdown-affect-life-in-srinagar/article6035250.ece,national,newdelhi,"Restrictions, shutdown affect life in Srinagar","Normal life in Jammu and Kashmir’s summer capital was affected on Wednesday by official restrictions and a separatist shutdown call. Authorities imposed restrictions in seven police station areas of Khanyar, Rainawari, Nowhatta, M.R. Gunj, Kralkhud, Zadibal and Safakadal to thwart a separatist march to the martyrs’ graveyard in the old city Eidgah ground. The police and Central Reserve Police Force (CRPF) personnel in full riot gear have been deployed in sensitive areas to maintain law and order. Mirwaiz Umer Farooq, chairman of the moderate Hurriyat group, called the march to commemorate the death of his father Mirwaiz Muhammad Farooq and another senior separatist leader Abdul Gani Lone. While the elder Mirwaiz was killed by unidentified gunmen in his uptown Nigeen residence on May 21, 1990, Lone was killed in the Eidgah grounds on May 21, 2002 when he was addressing a rally. Mirwaiz Umer Farooq has been placed under house arrest to prevent him from leading the march. Shops, public transport, educational institutions and other businesses remained closed in Srinagar while government offices, banks, post offices and other public sector undertakings functioned normally. No untoward incident has been reported from anywhere in the city so far.Vehicles carrying tourists to Gulmarg, Sonamarg and Pahalgam hill stations plied normally. In the last two months, tourists have not been touched or their travel disrupted even during separatist called protests and shutdowns in the Valley.-IANS",1
8,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/mysoora-reddy-calls-off-his-roadside-protest/article18395692.ece,national,andhrapradesh,Mysoora Reddy calls off his roadside protest,"Special Correspondent Demands judicial enquiry into all ULCA exemptions involving 250 acres of prime land HYDERABAD: Telugu Desam leader M. V. Mysoora Reddy called off his two-day roadside protest against the Government's decision to fence off the only passage leading to his house in Banjara Hills here on Monday, following an appeal made by party president N. Chandrababu Naidu. That the Government's move smacked of political vendetta could be gauged from the fact that it has fenced off a 100 yard passage and put up a ""Trespassers will be prosecuted"" board, leaving out the abutting vast three acre Government land worth Rs. 100 crores, Dr. Reddy told presspersons. He accused the Government of granting exemption from Urban Land Ceiling Act and ""gifting"" away this three-acre land to an individual Madan Mohanlal Sriram for building a hotel in violation of the existing rules. He said the Government had issued 180 GOs granting similar exemptions involving 250 acres of prime land in and around the city, worth Rs. 1,000 crores and demanded a judicial inquiry into the ""scam"". While appealing to Dr. Reddy to call off his protest, Mr. Naidu charged the Congress Government with developing a dictatorial streak, seen in the way it was liquidating TDP leaders and workers, stifling the voice of the Opposition and filing defamation cases against Opposition leaders and the media. The action was politically motivated as Dr. Reddy got an assurance from the Revenue and Municipal Corporation of Hyderabad officials to use the passage till the sump, which was there on the portion he had given away for road widening, was shifted and the access ramp to the house laid. This was before he left for Kadapa but on the same night, barbed wire was installed and a board put up. ""Obviously the officials were acting on the orders of the political leadership. We will not be cowed down by such threats and we will fight it out in Assembly and outside,"" the TDP leader said.",0
9,http://www.thehindu.com/todays-paper/tp-national/tp-telangana/patients-kin-protest-at-chest-hospital/article17464677.ece,national,telangana,Patient’s kin protest at hospital,"The family of a 25-year-old man who died at the Government Chest Hospital in Erragadda, allegedly due to the negligence of the staff, protested at the hospital on Tuesday. The hospital suspended two ward boys after an inquiry into the incident. V. Krishna, a native of Nagarkurnool district, was brought to the hospital on Monday evening after he complained of uneasiness and breathlessness. His wife told the media that despite repeated requeststo the hospital staff to attend to her husband, no medical intervention was provided. The of the patient relatives alleged that the staff demanded bribe. Krishna died in the intervening night of Monday and Tuesday. No money “The family was told earlier by a doctor that he has tuberculosis. When his condition worsened, he was brought to the hospital on Monday evening. He walked his way into the hospital,” N.S. Naik, Krishna’s uncle told The Hindu , while adding that the family had no money on Monday to give the hospital staff. Krishna lived in Alwal and worked as a construction labourer in the city, his uncle said. Two suspended After his death, the family members demanded action against the hospital staff. The hospital management in turn enquired with its staff and found two ward boys guilty. They were suspended for demanding bribe. A three-member team has also been constituted to probe into the incident. S.R. Nagar police, who oversee law and order in the area, and had visited the hospital during the protest, said they did not receive a complaint from the family.",1
10,http://www.thehindu.com/todays-paper/State-police-force-fully-mobilised/article16052571.ece,None,None,State police force fully mobilised,"Home Minister Kodiyeri Balakrishnan said here on Wednesday that none would be allowed to foment trouble in the State in connection with the court verdict in the Ayodhya case, slated to be pronounced on Thursday afternoon. The Cabinet called upon the people to show restraint and maintain calm, whatever be the verdict of the court. The Cabinet said all should respect the verdict. If any section found the verdict unsatisfactory, the proper course in a democracy would be to go on appeal before a higher court. All should strive to maintain peace. In an official release, the Chief Minister urged all to keep vigil to ensure communal amity and peace. High-level meet Speaking to journalists after a high-level meeting of senior officials here, the Home Minister said the police had been fully mobilised for law-and-order duty till Saturday. The government had cancelled all leave for the police personnel. It had directed law enforcers to act firmly against those trying to create unrest. He said superintendents of police had been asked to clamp prohibitory orders in consultation with district collectors after assessing the local situation. Those sending provocative SMS messages, sticking inflammatory posters or spreading malicious rumours would be arrested. Senior officials said three Rapid Action Force companies of the Central Reserve Police Force would be deployed in Thiruvananthapuram, Kochi and Kozhikode on Thursday. The police have classified some areas in the State as potentially ‘sensitive' after analysing past incidents, issues and political activity in the localities. The government has ordered them to detain potential troublemakers if the situation demands so. So far, there have been no preventive arrests in the State. The government has issued ‘prohibitory orders' in all districts. The State police have asked its coastal vigilance committees to be vigilant.",0
11,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/idol-damaged-shops-closed/article4613023.ece,national,tamilnadu,Idol damaged: shops closed,"Several hundred shops in Podanur, Sundarapuram, Kuniamuthur, Kovaipudur, Milekal, Machampalayam, Idayarpalayam, Kulathupalayam and Sungapuram areas remained closed on Friday in protest against the damage caused to an idol at a temple on Monday. Trouble erupted on March 8, when the devotees found the Adhi Veeramahaliamman idol removed from the pedestal with some damage on it. When the Hindu outfits staged a protest demanding the arrest of those involved in the damage to the idol, commotion prevailed after the agitators tried to chase a person accusing him of trying to videograph or photograph the agitators. The person from the minority community escaped the wrath of the protesters and took shelter. This triggered a fresh round of protest by the members of the minority community opposing the alleged attempt to assault a member of their community. Police reinforcements were posted in the area and the situation was defused after police promised to initiate action against both sides. On Tuesday, shops in Madukkarai area remained closed in protest against the damage to the idol.",1
